NumZoa,NumFood,Velo,MaxHealth,Sight,Gen,Size,minVelo,minMaxHealth,minSight,minGen,minSize,maxVelo,maxMaxHealth,maxSight,maxGen,maxSize,NumEaten,minNumEaten,maxNumEaten
11,86,3.0,228.63636363636363,51.27272727272727,0.09090909090909091,9.909090909090908,3,190,50,0,9,3,265,64,1,10,0.9090909090909091,0,3
12,112,3.0833333333333335,225.5,50.083333333333336,0.16666666666666666,9.666666666666666,3,190,37,0,7,4,265,64,1,10,2.0,0,7
13,134,3.0,228.46153846153845,50.76923076923077,0.23076923076923078,9.76923076923077,2,190,37,0,7,4,265,64,1,11,3.8461538461538463,0,14
13,188,3.076923076923077,233.92307692307693,52.61538461538461,0.38461538461538464,9.76923076923077,2,190,37,0,7,4,265,74,2,11,5.6923076923076925,0,19
9,268,2.888888888888889,228.44444444444446,51.77777777777778,0.4444444444444444,9.666666666666666,2,182,45,0,8,3,265,64,1,11,11.11111111111111,0,27
10,406,2.7,240.3,53.5,0.5,10.2,2,185,48,0,8,3,269,64,1,13,14.3,0,35
11,406,2.727272727272727,235.8181818181818,54.90909090909091,0.6363636363636364,10.090909090909092,2,185,48,0,8,3,269,64,1,13,16.727272727272727,0,43
13,405,3.076923076923077,237.23076923076923,57.92307692307692,1.1538461538461537,10.0,2,185,48,0,7,5,269,78,4,13,18.307692307692307,1,44
12,413,3.0833333333333335,240.5,57.666666666666664,1.1666666666666667,10.166666666666666,2,185,48,0,7,5,269,78,4,13,25.25,1,52
14,418,3.0,243.64285714285714,58.285714285714285,1.3571428571428572,10.142857142857142,2,185,48,0,6,5,269,78,4,14,26.714285714285715,0,56
16,417,3.125,245.625,58.8125,1.5,10.0625,2,185,46,0,6,5,269,79,4,14,27.1875,2,59
18,430,3.2222222222222223,237.38888888888889,59.77777777777778,1.7222222222222223,9.722222222222221,2,179,46,0,5,5,269,79,4,14,24.72222222222222,0,61
20,437,3.3,235.5,60.5,1.8,9.8,2,179,46,0,5,5,269,79,4,14,25.8,1,61
19,412,3.263157894736842,235.05263157894737,59.78947368421053,1.7894736842105263,9.421052631578947,2,178,46,0,2,5,269,79,4,14,29.789473684210527,0,68
18,436,3.2222222222222223,242.27777777777777,60.44444444444444,1.9444444444444444,10.222222222222221,1,181,46,0,5,5,269,79,4,15,30.166666666666668,0,75
21,428,3.380952380952381,237.57142857142858,60.23809523809524,2.0952380952380953,9.761904761904763,1,181,36,0,5,5,269,93,4,15,27.38095238095238,0,81
28,415,3.4642857142857144,237.67857142857142,60.75,2.357142857142857,9.428571428571429,1,181,36,0,4,5,271,93,5,15,23.714285714285715,0,85
32,442,3.375,238.75,63.15625,2.75,9.40625,1,181,36,0,4,5,271,104,5,15,23.53125,0,90
39,392,3.41025641025641,240.84615384615384,63.87179487179487,3.1025641025641026,9.794871794871796,1,181,36,0,4,5,271,104,6,17,23.17948717948718,0,96
45,306,3.3333333333333335,245.53333333333333,63.355555555555554,3.3777777777777778,10.088888888888889,1,181,36,0,4,6,279,104,7,17,25.244444444444444,0,104
51,272,3.4313725490196076,247.31372549019608,64.82352941176471,3.588235294117647,10.098039215686274,1,181,36,0,4,6,279,104,8,17,25.88235294117647,0,107
58,236,3.2758620689655173,252.79310344827587,65.63793103448276,4.0,10.620689655172415,0,182,38,0,5,6,279,117,8,19,23.82758620689655,0,112
56,239,3.392857142857143,252.94642857142858,66.01785714285714,4.357142857142857,11.107142857142858,0,182,40,0,5,6,282,117,9,22,25.25,0,112
52,290,3.3846153846153846,249.92307692307693,65.13461538461539,4.384615384615385,11.153846153846153,0,182,40,0,5,6,282,117,9,22,25.21153846153846,0,112
43,322,3.5348837209302326,245.04651162790697,62.74418604651163,4.162790697674419,11.44186046511628,0,182,40,0,5,6,282,87,9,22,27.790697674418606,0,113
40,336,3.625,251.475,61.5,4.775,12.1,0,182,38,1,5,6,282,93,9,22,25.55,0,114
44,344,3.8181818181818183,251.3181818181818,60.18181818181818,5.113636363636363,12.181818181818182,0,182,31,1,2,6,282,93,10,23,24.727272727272727,0,117
47,356,4.0,250.2127659574468,60.61702127659574,5.191489361702128,12.212765957446809,0,182,31,1,2,6,283,93,11,23,25.680851063829788,0,126
48,361,4.0,250.97916666666666,61.208333333333336,5.458333333333333,12.104166666666666,1,182,31,1,2,6,286,93,11,23,28.625,0,145
52,386,4.326923076923077,250.15384615384616,61.07692307692308,5.9423076923076925,12.403846153846153,1,182,29,1,1,8,293,93,13,23,29.807692307692307,0,158
50,334,4.38,255.34,62.94,6.56,13.38,1,183,31,1,2,8,293,93,13,25,30.68,0,170
51,212,4.470588235294118,255.09803921568627,62.96078431372549,6.882352941176471,13.745098039215685,1,180,31,1,2,8,293,93,13,25,32.745098039215684,0,183
57,138,4.508771929824562,257.0701754385965,64.28070175438596,7.298245614035087,14.263157894736842,1,180,31,2,2,8,293,94,13,25,30.771929824561404,0,193
58,93,4.517241379310345,253.89655172413794,64.03448275862068,7.189655172413793,14.431034482758621,1,180,24,2,5,8,293,94,13,25,29.551724137931036,0,197
56,59,4.553571428571429,253.375,63.410714285714285,7.160714285714286,14.375,1,180,24,2,4,8,293,94,13,25,29.285714285714285,0,199
54,40,4.555555555555555,251.96296296296296,66.51851851851852,7.537037037037037,15.351851851851851,2,180,24,2,4,8,293,107,13,25,27.85185185185185,0,201
47,39,4.617021276595745,252.10638297872342,65.44680851063829,7.531914893617022,15.27659574468085,2,180,24,2,4,8,293,107,13,25,29.319148936170212,0,201
37,18,4.756756756756757,257.7837837837838,65.43243243243244,7.594594594594595,15.91891891891892,2,180,24,2,4,8,293,107,13,25,31.62162162162162,0,201
25,26,5.12,256.36,63.84,7.4,15.24,3,180,24,2,4,8,293,107,13,24,30.56,0,108
14,37,5.142857142857143,257.5,58.714285714285715,6.857142857142857,14.071428571428571,3,183,24,2,7,8,293,93,13,23,40.785714285714285,0,109
9,61,5.333333333333333,266.22222222222223,51.55555555555556,7.444444444444445,14.555555555555555,4,245,24,2,9,8,293,65,13,20,43.44444444444444,2,102
7,75,5.571428571428571,270.85714285714283,58.42857142857143,8.857142857142858,16.0,4,256,43,5,10,8,293,65,13,20,44.142857142857146,6,104
5,127,5.6,273.8,58.8,9.4,17.8,4,261,43,5,16,8,293,65,13,20,53.4,7,106
6,181,5.666666666666667,274.5,53.666666666666664,9.666666666666666,17.833333333333332,4,261,28,5,16,8,293,65,13,20,49.333333333333336,6,107
7,276,5.428571428571429,273.2857142857143,57.142857142857146,9.857142857142858,18.0,4,261,28,5,16,8,293,78,13,20,46.0,6,113
7,346,5.428571428571429,273.2857142857143,57.142857142857146,9.857142857142858,18.0,4,261,28,5,16,8,293,78,13,20,52.142857142857146,12,129
7,420,5.428571428571429,273.2857142857143,57.142857142857146,9.857142857142858,18.0,4,261,28,5,16,8,293,78,13,20,66.42857142857143,13,169
9,418,5.555555555555555,276.44444444444446,60.0,10.444444444444445,18.555555555555557,4,261,28,5,16,8,295,78,14,22,63.22222222222222,0,212
12,417,5.583333333333333,279.9166666666667,61.666666666666664,11.083333333333334,18.166666666666668,4,261,28,5,15,8,308,79,15,22,52.5,2,217
13,424,5.615384615384615,282.46153846153845,60.0,11.461538461538462,17.923076923076923,4,261,28,5,14,8,315,79,16,22,53.15384615384615,2,222
13,444,5.615384615384615,282.46153846153845,60.0,11.461538461538462,17.923076923076923,4,261,28,5,14,8,315,79,16,22,58.23076923076923,2,222
15,410,5.6,283.8,59.13333333333333,11.866666666666667,18.066666666666666,4,261,28,5,14,8,315,79,17,22,57.13333333333333,1,224
21,414,5.857142857142857,286.0,62.714285714285715,12.380952380952381,18.238095238095237,4,260,28,5,14,9,318,88,17,22,47.476190476190474,0,226
25,419,5.96,288.48,64.68,12.96,18.12,4,260,28,5,13,9,326,96,18,22,47.12,0,231
29,372,5.896551724137931,290.82758620689657,65.27586206896552,13.379310344827585,18.137931034482758,4,260,28,5,13,9,326,96,18,22,48.172413793103445,0,244
33,385,5.909090909090909,290.09090909090907,66.78787878787878,13.545454545454545,18.12121212121212,4,260,28,5,13,9,326,96,18,22,47.666666666666664,0,245
36,355,6.027777777777778,291.44444444444446,68.13888888888889,13.972222222222221,18.22222222222222,4,260,28,5,12,9,326,101,18,22,47.388888888888886,0,245
42,315,6.190476190476191,292.2142857142857,71.52380952380952,14.452380952380953,17.904761904761905,4,253,28,5,12,9,326,105,18,22,44.904761904761905,0,250
45,232,6.288888888888889,293.4,71.8,14.666666666666666,18.066666666666666,4,253,43,5,12,9,326,105,18,22,46.48888888888889,0,265
